Text,Type
 เดี๋ยวครั้งหน้าจะสั่งอีกแน่นอนค่ะ,pos
 รสชาติอร่อย กินเพลิน ไม่ผิดหวัง,pos
Packing ปิดไม่สนิท,neg
Size ไม่มาตรฐาน,neg
เเพ้คของไม่ดี ในรูปคือซีนดูดีมาก เเต่พอได้รับ คนละเเบบเลย,neg
เเพ็คมาน่าเกลียด ,neg
เเพ็คห่อมาเเน่นหนาดีมาก ,pos
เก็บได้ไม่นาน,neg
เก็บไว้ได้ไม่นาน ,neg
เก็บไว้สามวันก้มีราขึ้นแล้ว,neg
เกินคาด ได้ของในวันถัดมา,pos
เกินราคา,pos
เค็ม ไม่หอม,neg
เค็มเข้าเนื้อ เค็มมากๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,neg
เค็มไปหน่อย ถ้าเอาไปทอดจะเค็มมาก,neg
เค็มกำลังดี เนื้อนุ่มดีไม่แข็งมาก,pos
เค็มมากๆ,neg
"เค็มมากๆๆๆๆชูรสล้วนๆๆๆๆๆๆๆๆๆๆ

",neg
เค็มสุดๆเค็มมากๆ ไม่ใช่อย่างที่แจ้งค่ะ ตัวค่อนข้างเล็ก,neg
เครื่องแกงหอมมากๆค่ะ,pos
เคอร์รี่มาฝากสินค้าไว้แต่ไม่ค่อยโทรแจ้ง ,neg
เคี้ยวเพลิน ,pos
เคี้ยวมันๆ ได้กลิ่นน้ำตาลอ่อนๆ ไม่หวานมาก อร่อยค่ะ ,pos
เจอเส้นผมติดอยู่กับตัวขนมด้วยคะ หยุดกินเลยคะ,neg
เจอแม่ค้ามาต่อว่า  ,neg
เด้วสั่งเพิ่มอักแน่นอนนค่ะ อร่อยจริงๆ,pos
เดี๋ยว​หมดจะสั่งซื้อ​ใหม่​ แล้ว​เจอกัน​เมื่อ​ชาติ​ต้องการ​,pos
เต็มปากเต็มคำดี,pos
เท่าที่กินไม่มีมด,pos
เนื้อเหนียวมากเคี้ยวไม่ออกไม่เหมาะสำหรับคนแก่ เด็กและผู้มีปัญหาเริ่องสุขภาพฟัน ,neg
เนื้อปลาแข็งไปหน่อย,neg
เนื้อปลาแข็งมาก เหมือนปลาทูดองเค็มในน้ำมันเพื่อถนอมอาหาร,neg
เนื้อปลาแห้งเป็นผลึกน้ำตาล,neg
เนื้อปลาไม่นิ่มเลย เค็มปี๋เลย ,neg
เนื้อปลาสด ชิ้นใหญ่ดีอร่อยครับ,pos
เนื้อผ้าแข็ง​ ไม่ยืดหยุ่นเลย ,neg
เนื้อผ้าและการตัดเย็บยังไม่ค่อยดีค่ะ,neg
เนื้อผ้าค่อนข้างบาง ,neg
เนื้อผ้าดี ,pos
เนื้อผ้าดีสมราคา ,pos
เนื้อผ้าบางไม่หนาอย่างที่เคยซื้อจากที่อื่น,neg
เนื้อร่วนๆ,neg
เนื้อหยาบมาก,neg
เป็นปั้นสิบที่ลูกใหญ่กว่าที่เคยกินนิดนึง,pos
เปรี้ยวเกินไป รสไม่ค่อยธรรมชาติเหมือนที่เคยกินจากที่อื่นๆ,neg
เปรี้ยวค่ะ ไม่ค่อยอร่อยเลย  ไม่โอเคเลยค่ะ,neg
เป้าขาด ,neg
เปิดกล่องมากลิ่นหอมฟุ้งเลย,pos
เปิดฝามาจะมีแผ่นฟรอยด์ปิดอีกชั้น ,pos
เผ็ดมากกกชอบ อร่อยดี ถึงเครื่องแกง,pos
เพราะแม่ค้าก้อมักง่าย ,neg
เพราะขนมพริกที่ได้กระปุกสภาพยับเยินมากๆ,neg
เพราะชอบรสไม่ไหวเลย,neg
เพิ่งเคยกินครั้งแรก เหมือนกินขนม ,pos
เพิ่งเคยกินครั้งแรก และจะเป็นครั้งสุดท้าย    ,neg
